test,algorithm,result,time_us
2252576253462244111563365343671351441,negamax,true,0
2252576253462244111563365343671351441,alphabeta,true,0
7422341735647741166133573473242566,negamax,true,9
7422341735647741166133573473242566,alphabeta,true,4
23163416124767223154467471272416755633,negamax,true,0
23163416124767223154467471272416755633,alphabeta,true,1
71255763773133525731261364622167124446454,negamax,true,0
71255763773133525731261364622167124446454,alphabeta,true,0
65214673556155731566316327373221417,negamax,true,4
65214673556155731566316327373221417,alphabeta,true,2
52677675164321472411331752454,negamax,true,99604
52677675164321472411331752454,alphabeta,true,3245
3135151421347443544172316522225776773566,negamax,true,0
3135151421347443544172316522225776773566,alphabeta,true,1
562154564361751726662253737734213275114,negamax,true,0
562154564361751726662253737734213275114,alphabeta,true,0
233377345754465174223731671122611552,negamax,true,3
233377345754465174223731671122611552,alphabeta,true,2
6763525635134453444361412671365712,negamax,true,14
6763525635134453444361412671365712,alphabeta,true,5
211376455663355325112113664364524722,negamax,true,0
211376455663355325112113664364524722,alphabeta,true,0
3146762114467714356347741621375222,negamax,true,31
3146762114467714356347741621375222,alphabeta,true,14
67152117737262713366376314254,negamax,true,38213
67152117737262713366376314254,alphabeta,true,2597
2762751722231276466633475674533,negamax,true,11
2762751722231276466633475674533,alphabeta,true,5
3642756176227637211322113551637574556,negamax,true,0
3642756176227637211322113551637574556,alphabeta,true,0
22647455554314246733661634615122372377511,negamax,true,0
22647455554314246733661634615122372377511,alphabeta,true,0
427566236745127177115664464254,negamax,true,1675
427566236745127177115664464254,alphabeta,true,115
7172212567451542223676134464437761515,negamax,true,3
7172212567451542223676134464437761515,alphabeta,true,1
641154574541323641152467137655232232366,negamax,true,0
641154574541323641152467137655232232366,alphabeta,true,0
5775265212657176476365522624313714333,negamax,true,0
5775265212657176476365522624313714333,alphabeta,true,0
3575316255751336464276636772271112,negamax,true,15
3575316255751336464276636772271112,alphabeta,true,10
75662564375666511575212332122171447733,negamax,true,0
75662564375666511575212332122171447733,alphabeta,true,0
3576127617575661522124647446257235344113,negamax,true,0
3576127617575661522124647446257235344113,alphabeta,true,0
655651721435342216255374674123,negamax,true,44209
655651721435342216255374674123,alphabeta,true,386
335413424327172446337172625415575517,negamax,true,1
335413424327172446337172625415575517,alphabeta,true,0
12156756715535615116237724723,negamax,true,913
12156756715535615116237724723,alphabeta,true,58
4744236462134233111155374771566655522,negamax,true,2
4744236462134233111155374771566655522,alphabeta,true,1
144324431445513573673777361765615215226,negamax,true,0
144324431445513573673777361765615215226,alphabeta,true,0
466337133772221726726511133452571,negamax,true,43
466337133772221726726511133452571,alphabeta,true,23
5577777735365512235162362241426611,negamax,true,1
5577777735365512235162362241426611,alphabeta,true,1
6274476136716665132411555412333345,negamax,true,100
6274476136716665132411555412333345,alphabeta,true,15
2166166176633734115273317322475724,negamax,true,3
2166166176633734115273317322475724,alphabeta,true,1
3432357517256661231652672362571175,negamax,true,0
3432357517256661231652672362571175,alphabeta,true,0
26512741647245111351472255277,negamax,true,41
26512741647245111351472255277,alphabeta,true,1
3414355576455177144321543311672273,negamax,true,1
3414355576455177144321543311672273,alphabeta,true,1
